Dataset,Algorithm,Number of classes,Train size,Test size,CV index,MCC,TS,Specificity,AUC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Train time [s],Prediction time [s],Mixed
mammographic,PGIRLA-C,-1,-1,-1,4,0.735837181564879,0.75,0.9069767441860463,0.8659883720930233,0.8674698795180723,0.8690626194554953,0.8674698795180723,0.867121777640256,39,4,7,33,4.38733696937561,-1,0.8624987726231677
mammographic,PGIRLA-C,-1,-1,-1,5,0.6622093023255814,0.7021276595744681,0.8372093023255814,0.8311046511627906,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,36,7,7,33,4.1481664180755615,-1,0.8230975063042869
mammographic,PGIRLA-C,-1,-1,-1,6,0.542126762058937,0.62,0.7674418604651163,0.7712209302325582,0.7710843373493976,0.7714411653582973,0.7710843373493976,0.7711508342739147,33,10,9,31,4.202991247177124,-1,0.7595131540060537
mammographic,PGIRLA-C,-1,-1,-1,7,0.6412208472689535,0.6666666666666666,0.8837209302325582,0.8168604651162791,0.8192771084337349,0.8232214572576018,0.8192771084337349,0.8182179266516616,38,5,10,30,4.020240545272827,-1,0.8130687109113935
mammographic,PGIRLA-C,-1,-1,-1,8,0.756565400534509,0.7727272727272727,0.9047619047619048,0.8773809523809524,0.8780487804878049,0.8788073287431439,0.8780487804878049,0.87790334075076,38,4,6,34,3.749009609222412,-1,0.8731478466845563
mammographic,PGIRLA-C,-1,-1,-1,9,0.660688560731237,0.6888888888888889,0.8809523809523809,0.8279761904761903,0.8292682926829268,0.8320372334158124,0.8292682926829268,0.8286556190920761,37,5,9,31,3.686358690261841,-1,0.8231743268734383
mammographic,PGIRLA-C,-1,-1,-1,10,0.7820706436342509,0.7906976744186046,0.9285714285714286,0.8892857142857143,0.8902439024390244,0.8921555702043507,0.8902439024390244,0.889998143152054,39,3,6,34,3.8902552127838135,-1,0.8865597427476792
mammographic,Ripper-C,-1,-1,-1,1,0.6222373594326397,0.6964285714285714,0.6744186046511628,0.8014950166112957,0.8,0.8220518867924528,0.8,0.7969122807017543,29,14,3,39,0.7828114032745361,-1,0.7863838975272016
mammographic,Ripper-C,-1,-1,-1,2,0.5837243683780834,0.6666666666666666,0.6976744186046512,0.787861599546228,0.7857142857142857,0.7973760932944607,0.7857142857142857,0.7842490842490842,30,13,5,36,0.7363548278808594,-1,0.7724400810205854
mammographic,Ripper-C,-1,-1,-1,3,0.561957851260296,0.65,0.5348837209302325,0.7549418604651164,0.7469879518072289,0.8150483289088558,0.7469879518072289,0.7353920430705182,23,20,1,39,0.7694544792175293,-1,0.73292042668848
mammographic,Ripper-C,-1,-1,-1,4,0.505855136163771,0.6190476190476191,0.4651162790697674,0.7200581395348837,0.7108433734939759,0.7965502563248384,0.7108433734939759,0.6923281360737066,20,23,1,39,0.7270581722259521,-1,0.6953573808600707
mammographic,Ripper-C,-1,-1,-1,5,0.5951506500596083,0.6727272727272727,0.6511627906976745,0.7880813953488373,0.7831325301204819,0.8108463631199736,0.7831325301204819,0.7796922118556482,28,15,3,37,0.9035944938659668,-1,0.770005300364779
mammographic,Ripper-C,-1,-1,-1,6,0.4555895464607417,0.5967741935483871,0.4883720930232558,0.7066860465116279,0.6987951807228916,0.7555391055748417,0.6987951807228916,0.6849905274649025,21,22,3,37,0.9248557090759276,-1,0.6813182006040207
mammographic,Ripper-C,-1,-1,-1,7,0.4555895464607417,0.5967741935483871,0.4883720930232558,0.7066860465116279,0.6987951807228916,0.7555391055748417,0.6987951807228916,0.6849905274649025,21,22,3,37,0.8300421237945557,-1,0.6813182006040207
mammographic,Ripper-C,-1,-1,-1,8,0.6666839197215386,0.72,0.7619047619047619,0.8309523809523808,0.8292682926829268,0.8370448921880522,0.8292682926829268,0.8286574457873379,32,10,4,36,0.8292591571807861,-1,0.8186649539520416
mammographic,Ripper-C,-1,-1,-1,9,0.4157046551561493,0.576271186440678,0.5476190476190477,0.6988095238095239,0.6951219512195121,0.7191551486106923,0.6951219512195121,0.6885192613852537,23,19,6,34,0.750295877456665,-1,0.6760838728828833
mammographic,Ripper-C,-1,-1,-1,10,0.7112192093352798,0.75,0.8095238095238095,0.8547619047619047,0.8536585365853658,0.8573929279962658,0.8536585365853658,0.8534843205574913,34,8,4,36,0.7288506031036377,-1,0.8448475638932904
mammographic,SLAVE2-C,-1,-1,-1,1,0.6738926327472483,0.7254901960784313,0.7906976744186046,0.8358250276854928,0.8352941176470589,0.8384680962686077,0.8352941176470589,0.8350202165123255,34,9,5,37,9.28865909576416,-1,0.8253121931832533
mammographic,SLAVE2-C,-1,-1,-1,2,0.6722894449595856,0.6888888888888889,0.9069767441860463,0.8315371525808282,0.8333333333333334,0.8397473275024294,0.8333333333333334,0.8321891685736079,39,4,10,31,8.794704914093018,-1,0.8287451549399849
mammographic,SLAVE2-C,-1,-1,-1,3,0.7832656755149485,0.8,0.8837209302325582,0.891860465116279,0.891566265060241,0.8918881099310132,0.891566265060241,0.8915977636034335,38,5,4,36,8.678662300109863,-1,0.8858633211019422
mammographic,SLAVE2-C,-1,-1,-1,4,0.7104651162790697,0.7391304347826086,0.8604651162790697,0.8552325581395349,0.8554216867469879,0.8554216867469879,0.8554216867469879,0.8554216867469879,37,6,6,34,10.266558408737184,-1,0.8483692911179601
mammographic,SLAVE2-C,-1,-1,-1,5,0.6153400225299188,0.673469387755102,0.7906976744186046,0.8078488372093022,0.8072289156626506,0.8082784098064733,0.8072289156626506,0.8072848886836544,34,9,7,33,8.203680038452148,-1,0.7970463601149983
mammographic,SLAVE2-C,-1,-1,-1,6,0.5668420647138849,0.6170212765957447,0.8372093023255814,0.7811046511627907,0.7831325301204819,0.7850408727107009,0.7831325301204819,0.7822447685478758,36,7,11,29,10.189369916915894,-1,0.7745088989026105
mammographic,SLAVE2-C,-1,-1,-1,7,0.5903062377923175,0.6382978723404256,0.8372093023255814,0.7936046511627907,0.7951807228915663,0.7962000764515171,0.7951807228915663,0.7946427472622137,36,7,10,30,12.433154344558716,-1,0.7866165737676694
mammographic,SLAVE2-C,-1,-1,-1,8,0.5696816675837062,0.6,0.8809523809523809,0.7779761904761905,0.7804878048780488,0.7906097560975609,0.7804878048780488,0.7778366914103924,37,5,13,27,9.85932183265686,-1,0.7747233400574663
mammographic,SLAVE2-C,-1,-1,-1,9,0.575703635940122,0.5909090909090909,0.9047619047619048,0.7773809523809524,0.7804878048780488,0.7970606629143215,0.7804878048780488,0.7764845429609312,38,4,14,26,10.024836301803589,-1,0.7763588885780299
mammographic,SLAVE2-C,-1,-1,-1,10,0.7319250547113999,0.7608695652173914,0.8571428571428571,0.8660714285714286,0.8658536585365854,0.8661511005353957,0.8658536585365854,0.8658736118820358,36,6,5,35,10.887473821640016,-1,0.8588018913860331
mammographic,SLAVEv0-C,-1,-1,-1,1,0.6705426356589147,0.7142857142857143,0.8372093023255814,0.8352713178294574,0.8352941176470589,0.8352941176470589,0.8352941176470589,0.8352941176470589,36,7,7,35,6.441406488418579,-1,0.8271454628362973
mammographic,SLAVEv0-C,-1,-1,-1,2,0.6687764134673039,0.6956521739130435,0.8837209302325582,0.8321043675553035,0.8333333333333334,0.8360168679317616,0.8333333333333334,0.8327635327635328,38,5,9,32,6.833349943161011,-1,0.8273903541815056
mammographic,SLAVEv0-C,-1,-1,-1,3,0.7587209302325582,0.7777777777777778,0.8837209302325582,0.8793604651162791,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.8795180722891566,38,5,5,35,8.17292833328247,-1,0.8736410759316334
mammographic,SLAVEv0-C,-1,-1,-1,4,0.7128024309121861,0.7272727272727273,0.9069767441860463,0.8534883720930233,0.8554216867469879,0.858269959269703,0.8554216867469879,0.8548298456985839,39,4,8,32,9.940969467163086,-1,0.8504308960571471
mammographic,SLAVEv0-C,-1,-1,-1,5,0.542126762058937,0.62,0.7674418604651163,0.7712209302325582,0.7710843373493976,0.7714411653582973,0.7710843373493976,0.7711508342739147,33,10,9,31,9.804677486419678,-1,0.7595131540060537
mammographic,SLAVEv0-C,-1,-1,-1,6,0.5181886093144511,0.5833333333333334,0.813953488372093,0.7569767441860465,0.7590361445783133,0.7606311771910337,0.7590361445783133,0.7580497428309729,35,8,12,28,7.752460956573486,-1,0.7492015665177651
mammographic,SLAVEv0-C,-1,-1,-1,7,0.6154955201133185,0.6521739130434783,0.8604651162790697,0.8052325581395349,0.8072289156626506,0.8094505682303682,0.8072289156626506,0.8064397942647783,37,6,10,30,7.882873058319092,-1,0.7998162312874562
mammographic,SLAVEv0-C,-1,-1,-1,8,0.5921614986227649,0.6222222222222222,0.8809523809523809,0.7904761904761904,0.7926829268292683,0.8006546299229225,0.7926829268292683,0.7907168007401885,37,5,12,28,7.629028797149658,-1,0.786806892373858
mammographic,SLAVEv0-C,-1,-1,-1,9,0.5473237306811041,0.5777777777777777,0.8809523809523809,0.7654761904761904,0.7682926829268293,0.7807192113666866,0.7682926829268293,0.7648186522755731,37,5,14,26,8.343008041381836,-1,0.7626535989026219
mammographic,SLAVEv0-C,-1,-1,-1,10,0.736281393846728,0.7441860465116279,0.9285714285714286,0.8642857142857143,0.8658536585365854,0.8710060048928757,0.8658536585365854,0.8651502694802229,39,3,8,32,7.643692493438721,-1,0.8622981678463879
pima,1R-C,-1,-1,-1,1,0.2639366428526536,0.3720930232558139,0.68,0.6362962962962962,0.6493506493506493,0.665945165945166,0.6493506493506493,0.6549810581924765,34,16,11,16,0.7634260654449463,-1,0.6285258364716371
pima,1R-C,-1,-1,-1,2,0.233999509108495,0.3157894736842105,0.78,0.6122222222222222,0.6623376623376623,0.6519229562707823,0.6623376623376623,0.6553246753246754,39,11,15,12,0.9228525161743164,-1,0.6312485042213449
pima,1R-C,-1,-1,-1,3,0.2931763649279746,0.375,0.74,0.6477777777777778,0.6753246753246753,0.6781738669493772,0.6753246753246753,0.6766364948183129,37,13,12,15,0.8165881633758545,-1,0.6513294163557724
pima,1R-C,-1,-1,-1,4,0.4848401374141137,0.5128205128205128,0.76,0.7503703703703704,0.7532467532467533,0.7674963924963925,0.7532467532467533,0.7572088928021131,38,12,7,20,0.8385429382324219,-1,0.7400136518923507
pima,1R-C,-1,-1,-1,5,0.4389381125701739,0.4411764705882353,0.86,0.7077777777777777,0.7532467532467533,0.7467532467532467,0.7532467532467533,0.7465323791854402,43,7,12,15,0.8509387969970703,-1,0.7289036155852187
pima,1R-C,-1,-1,-1,6,0.378691704962503,0.4,0.84,0.6792592592592592,0.7272727272727273,0.71900826446281,0.7272727272727273,0.7198515769944341,42,8,13,14,0.7875218391418457,-1,0.7006627762490434
pima,1R-C,-1,-1,-1,7,0.417489966754203,0.4615384615384615,0.76,0.7133333333333333,0.7272727272727273,0.7353965183752418,0.7272727272727273,0.7302323287130666,38,12,9,18,0.8495981693267822,-1,0.7096443242564723
